architecture,scheme,beta,anchor,factor,checkpoint_role,layerwise_cosine,whole_gradient_cosine,layerwise_norm_delta,whole_gradient_norm_delta,residual_passed,state,result_directory
conv3,legacy,0.002,0.001,2,best_validation,0.9999883000173506,0.9999997145197964,0.0007158436348270338,1.1156788949993596e-06,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p002
conv3,legacy,0.003,0.001,3,reconstructed_initialization,0.9998908729821178,0.999999932850999,0.005911471588622492,1.1410174477538997e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p003
conv3,legacy,0.003,0.001,3,best_validation,0.9999875192333656,0.9999996954689883,0.0012429566412672857,2.055728850412233e-06,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p003
conv3,legacy,0.005,0.001,5,reconstructed_initialization,0.9997970977389014,0.9999998645683407,0.010564111477940934,1.5208751450680263e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p005
conv3,legacy,0.005,0.001,5,best_validation,0.9999864270745176,0.9999996797906203,0.0019548437064318214,5.720849505316357e-06,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p005
conv3,legacy,0.0075,0.001,7.5,reconstructed_initialization,0.9997009608738847,0.9999997880026008,0.01475887684778941,1.981709611602781e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p0075
conv3,legacy,0.0075,0.001,7.5,best_validation,0.9999305509687656,0.9999986391452944,0.0034808259345042994,1.3856689338224622e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p0075
conv3,legacy,0.01,0.001,10,reconstructed_initialization,0.9996376117337723,0.9999997344806306,0.017327242148712292,2.0838304714231254e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p01
conv3,legacy,0.01,0.001,10,best_validation,0.9998808171319661,0.9999975742832811,0.0068178193380399555,3.16393636792097e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p01
conv3,legacy,0.02,0.001,20,reconstructed_initialization,0.9991489762708123,0.9999997126909361,0.01988498886086072,2.7428352026287175e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p02
conv3,legacy,0.02,0.001,20,best_validation,0.9995816515516776,0.9999915067931425,0.012875181980611189,5.523382492507029e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p02
conv3,legacy,0.03,0.001,30,reconstructed_initialization,0.9986749219341005,0.9999993633309713,0.023200292891485556,3.253234057798483e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p03
conv3,legacy,0.03,0.001,30,best_validation,0.9994411750886356,0.9999886724617313,0.014713146406186458,6.24204380545719e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p03
conv3,legacy,0.05,0.001,50,reconstructed_initialization,0.9964415231182123,0.9999989203792458,0.032740717680919955,4.540295998812084e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p05
conv3,legacy,0.05,0.001,50,best_validation,0.9992211685651985,0.999984452898206,0.01443427279787553,7.781421752238183e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p05
conv3,legacy,0.075,0.001,75,reconstructed_initialization,0.9934172643601151,0.9999982388887007,0.0467903123245871,6.407337684293955e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p075
conv3,legacy,0.075,0.001,75,best_validation,0.9990408647043928,0.9999809163395693,0.016801161578130157,8.713391418743031e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p075
conv3,legacy,0.1,0.001,100,reconstructed_initialization,0.9911607140179312,0.9999977267220359,0.05343476189619398,7.261285073049803e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p1
conv3,legacy,0.1,0.001,100,best_validation,0.9989320005210957,0.9999787691087257,0.017997647027876044,9.175647267342975e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p1
conv3,legacy,0.3,0.001,300,reconstructed_initialization,0.9738911483263823,0.9999885461504839,0.09138681896808994,0.00010386065852789652,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p3
conv3,legacy,0.3,0.001,300,best_validation,0.9986017378894974,0.9999721641626323,0.02690173250452912,0.00010285207704417105,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p3
conv3,legacy,1.0,0.001,1000,reconstructed_initialization,0.9606315461846276,0.9999805014212363,0.11678907277440315,0.00013325817276634006,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta1
conv3,legacy,1.0,0.001,1000,best_validation,0.9946197089123874,0.9998711398392468,0.06324264337413103,0.0005025018703945155,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta1
conv2,baseline,1.0,100,0.01,reconstructed_initialization,0.9998642047330549,0.9999988517856899,0.005509908984550918,1.7689230884536993e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta1
conv2,baseline,1.0,100,0.01,best_validation,0.9999660223698881,0.9999841277156393,0.001400492819143967,0.00013714871823127079,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta1
conv2,baseline,3.0,100,0.03,reconstructed_initialization,0.9996625643189229,0.9999973395700644,0.008083751067894851,3.599058750138006e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta3
conv2,baseline,3.0,100,0.03,best_validation,0.9998058737351722,0.9999139886983859,0.0023357365337480407,0.0008028572988588074,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta3
conv2,baseline,10.0,100,0.1,reconstructed_initialization,0.9992432121243053,0.9999926123248462,0.01717711000813716,7.847100805916515e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta10
conv2,baseline,10.0,100,0.1,best_validation,0.9992354286305691,0.999661802122336,0.0032033040659794907,0.0014329242208744556,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta10
conv2,baseline,30.0,100,0.3,reconstructed_initialization,0.9977851253608642,0.9999781265919452,0.028067771892599805,0.00012601776052966802,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta30
conv2,baseline,30.0,100,0.3,best_validation,0.9989995377887547,0.9995575372122825,0.0038909458295415898,0.0016678675547339519,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta30
conv2,baseline,100.0,100,1,reconstructed_initialization,0.9920294361443316,0.9999291224054636,0.06251516649620752,0.0003110796235859695,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta100
conv2,baseline,100.0,100,1,best_validation,0.9981459576702337,0.9993319524099612,0.012342877562098582,0.0022183930286603197,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta100
