architecture,scheme,beta,minimum_cosine,maximum_norm_mismatch,maximum_relative_l2_error,limiting_matrix,limiting_checkpoint,limiting_batch,origin
conv3,legacy,4.42250110273,0.9026334779561918,0.1926071444942353,0.5238669363392136,ConvWeight_0,reconstructed_initialization,34,refined_grid
conv3,legacy,4.62629843874,0.8967753750556855,0.19539401521987035,0.5422708659226039,ConvWeight_0,reconstructed_initialization,34,refined_grid
conv3,legacy,4.83948714702,0.8919102393261277,0.20158620365168636,0.5571458857762613,ConvWeight_0,reconstructed_initialization,34,refined_grid
conv3,legacy,5.0625,0.8872769542316397,0.21570387645772995,0.571686668925406,ConvWeight_0,reconstructed_initialization,34,refined_grid
conv3,legacy,7.59375,0.7488988341227932,0.3089658531663183,0.7273830751516597,ConvWeight_0,reconstructed_initialization,26,refined_grid
conv3,legacy,11.390625,0.4414539597431153,0.40045531004296103,1.1674692740256745,ConvWeight_0,reconstructed_initialization,26,refined_grid
conv3,ours,0.03,0.9996016845782522,0.02466905496690039,0.030977744400474187,ConvWeight_0,reconstructed_initialization,12,original_grid
conv3,ours,0.09,0.998565256007526,0.0224717917840994,0.05371320361847729,ConvWeight_0,reconstructed_initialization,24,original_grid
conv3,ours,0.3,0.9930662426662995,0.033669126789391005,0.12004915879053779,ConvWeight_0,reconstructed_initialization,24,original_grid
conv3,ours,0.9,0.9922298134866206,0.10890604947121049,0.13194724053440082,ConvWeight_0,reconstructed_initialization,31,original_grid
conv3,ours,0.987333678708,0.9911233173217202,0.1206034146855802,0.13343175272339483,ConvWeight_0,reconstructed_initialization,31,refined_grid
conv3,ours,1.08314199234,0.9894917236805213,0.12947252884043228,0.1517962316166805,ConvWeight_0,reconstructed_initialization,31,refined_grid
conv3,ours,1.18824729763,0.986875545887358,0.13785502742786723,0.17343922795414413,ConvWeight_0,reconstructed_initialization,31,refined_grid
conv3,ours,1.30355175065,0.9851287559507202,0.1480256938593539,0.19996554112473797,ConvWeight_0,reconstructed_initialization,31,refined_grid
conv3,ours,1.43004505039,0.9830212451622268,0.15647237101198877,0.23498014947139392,ConvWeight_0,reconstructed_initialization,31,refined_grid
conv3,ours,1.56881293369,0.9778307585832337,0.16081791068970516,0.274063539968251,ConvWeight_0,reconstructed_initialization,2,refined_grid
conv3,ours,1.72104649447,0.9706774583311805,0.16999688257763515,0.32258035655648265,ConvWeight_0,reconstructed_initialization,2,refined_grid
conv3,ours,1.88805240735,0.9636898131823471,0.19395083715056854,0.3665348424896697,ConvWeight_0,reconstructed_initialization,2,refined_grid
conv3,ours,2.07126414326,0.9589191373350168,0.2090554141353849,0.39477313044004125,ConvWeight_0,reconstructed_initialization,2,refined_grid
conv3,ours,2.27225427349,0.9552982335331631,0.22081478461482262,0.41618327344436234,ConvWeight_0,reconstructed_initialization,2,refined_grid
conv3,ours,2.49274796756,0.9506040922759803,0.23636377370859962,0.44398008154200086,ConvWeight_0,reconstructed_initialization,2,refined_grid
conv3,ours,2.61089310782,0.9475395636155978,0.24738541299412345,0.46285664885961325,ConvWeight_0,reconstructed_initialization,2,refined_grid
conv3,ours,2.73463780101,0.9441842674185208,0.25946112047021436,0.4835286009835398,ConvWeight_0,reconstructed_initialization,2,refined_grid
conv3,ours,3.0,0.939168192826838,0.27817788383858766,0.5151527597307425,ConvWeight_0,reconstructed_initialization,2,original_grid
conv3,ours,3.271523198,0.9355279887563763,0.2925256071779912,0.5390070644353749,ConvWeight_0,reconstructed_initialization,2,refined_grid
conv3,ours,3.56762134501,0.9328868953440651,0.302894085851066,0.5563763685667534,ConvWeight_0,reconstructed_initialization,2,refined_grid
conv3,ours,3.89051866395,0.9278666754976758,0.3205098304059898,0.5873717418901239,ConvWeight_0,reconstructed_initialization,2,refined_grid
conv3,ours,4.24264068712,0.9211423590135184,0.34306842410648775,0.6280962286493645,ConvWeight_0,reconstructed_initialization,2,refined_grid
conv3,ours,4.62663247622,0.9130639576483791,0.3701447720501162,0.6776050477929794,ConvWeight_0,reconstructed_initialization,2,refined_grid
conv3,ours,5.04537849152,0.904185655137727,0.3991921995889118,0.7320801359655609,ConvWeight_0,reconstructed_initialization,2,refined_grid
conv3,ours,5.26875648112,0.9003483459817969,0.41160723434892454,0.7557768103362532,ConvWeight_0,reconstructed_initialization,2,refined_grid
conv3,ours,5.50202425923,0.8961554928194806,0.42515880682661306,0.7818964602729371,ConvWeight_0,reconstructed_initialization,2,refined_grid
conv3,ours,6.0,0.8869811572097297,0.45456241890160964,0.8396794859015652,ConvWeight_0,reconstructed_initialization,2,original_grid
conv3,ours,9.0,0.8436420127542523,0.5840993871058706,1.1186794079570812,ConvWeight_0,reconstructed_initialization,2,original_grid
conv3,ours,15.0,0.7116072089135657,0.7095618417929823,1.4491340725397972,ConvWeight_0,reconstructed_initialization,26,original_grid
conv3,ours,22.5,0.45494647289276363,0.664651695177798,1.3704623077981861,ConvWeight_0,reconstructed_initialization,26,original_grid
conv3,ours,30.0,0.42012040205928175,0.5334222336564556,1.1949267641152597,ConvWeight_0,reconstructed_initialization,26,original_grid
conv3,ours,60.0,0.3891960774834849,1.1045443122913434,1.110131368334617,ConvWeight_0,reconstructed_initialization,25,original_grid
conv3,ours,90.0,-0.5252800817094434,1.0725198623884107,1.3322338662420201,ConvWeight_0,reconstructed_initialization,25,original_grid
conv3,ours,150.0,-0.5916747592679091,1.4460694903775044,2.193213257334507,ConvWeight_0,reconstructed_initialization,25,original_grid
conv3,ours,225.0,-0.5579739075730895,1.5013990674845668,3.4960470940936625,ConvWeight_0,reconstructed_initialization,21,original_grid
conv3,ours,300.0,-0.7127053220990869,1.538289350828657,4.8071697334168935,ConvWeight_0,reconstructed_initialization,21,original_grid
conv3,ours,900.0,-0.8178642492978241,1.7621975841356998,15.332929634265174,ConvWeight_0,reconstructed_initialization,21,original_grid
conv3,ours,3000.0,-0.8320159174808762,1.9255000570332956,52.21223217195202,ConvWeight_0,reconstructed_initialization,21,original_grid
