phase,architecture,model_seed,injected_beta,checkpoint_role,cohort,parameter_name,count,minimum_cosine,fifth_percentile_cosine,median_cosine,maximum_norm_delta,cosine_failures,norm_failures,combined_failures
selection,conv3,0,300.0,best_validation,historical,DenseWeight_0,4,0.9999999880860234,0.999999988814634,0.9999999937016435,5.0044687606311134e-05,0,0,0
selection,conv3,0,300.0,best_validation,selection,ConvWeight_0,32,0.9992343843387889,0.9994051910706624,0.9999602035117998,0.02492302497555784,0,0,0
selection,conv3,0,300.0,best_validation,selection,ConvWeight_1,32,0.9995081218283267,0.9996411673204801,0.9999152754595417,0.012086154797592933,0,0,0
selection,conv3,0,300.0,best_validation,selection,ConvWeight_2,32,0.9986845459026813,0.9990669713218622,0.9996697902827436,0.0061124424786748776,0,0,0
selection,conv3,0,300.0,best_validation,selection,DenseWeight_0,32,0.9999999401746738,0.9999999453299984,0.9999999801534909,8.836079669295312e-05,0,0,0
selection,conv2,0,100.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9949281043691918,0.9952196081674175,0.9975085669085125,0.04466993491620747,0,0,0
selection,conv2,0,100.0,reconstructed_initialization,historical,ConvWeight_1,4,0.9976047961417164,0.997626395554926,0.9981130408197094,0.0077201250050968956,0,0,0
selection,conv2,0,100.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9999954967730837,0.9999954999104043,0.9999958525056938,7.951731174990484e-05,0,0,0
selection,conv2,0,100.0,reconstructed_initialization,selection,ConvWeight_0,32,0.9920294361443316,0.9950042668612007,0.9983805928456833,0.06251516649620752,0,0,0
selection,conv2,0,100.0,reconstructed_initialization,selection,ConvWeight_1,32,0.9979430868956265,0.9981079588794545,0.9984492978077666,0.008476775203625764,0,0,0
selection,conv2,0,100.0,reconstructed_initialization,selection,DenseWeight_0,32,0.9999952273551156,0.9999954970637316,0.9999962694344621,8.665428777369787e-05,0,0,0
selection,conv2,0,100.0,best_validation,historical,ConvWeight_0,4,0.9993874601071124,0.9994359072147261,0.9997588677612625,0.0068179190719672746,0,0,0
selection,conv2,0,100.0,best_validation,historical,ConvWeight_1,4,0.9981459576702337,0.9983548425391279,0.9996174477806079,0.0006471551487013783,0,0,0
selection,conv2,0,100.0,best_validation,historical,DenseWeight_0,4,0.9999999314653994,0.9999999388461844,0.9999999815102816,3.659282229991857e-05,0,0,0
selection,conv2,0,100.0,best_validation,selection,ConvWeight_0,32,0.9991331138361754,0.9995551441982531,0.9998681640832562,0.012342877562098582,0,0,0
selection,conv2,0,100.0,best_validation,selection,ConvWeight_1,32,0.9987999435948033,0.9990926589681692,0.999719564921006,0.004950677509468487,0,0,0
selection,conv2,0,100.0,best_validation,selection,DenseWeight_0,32,0.9999998330398436,0.9999999269314712,0.9999999895292743,8.135351634897034e-05,0,0,0
selection,conv2,0,200.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9902694153695043,0.9910443101786627,0.9964645175052071,0.06850012493777932,0,0,0
selection,conv2,0,200.0,reconstructed_initialization,historical,ConvWeight_1,4,0.9955407275374369,0.995588919549298,0.996434373984796,0.015197395954735363,0,0,0
selection,conv2,0,200.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9999651322531417,0.9999653443504599,0.9999687930950686,0.0003371303301146054,0,0,0
selection,conv2,0,200.0,reconstructed_initialization,selection,ConvWeight_0,32,0.9843964357962667,0.9882383925795086,0.9970967947308926,0.08044941198763214,3,0,3
selection,conv2,0,200.0,reconstructed_initialization,selection,ConvWeight_1,32,0.9958684691454672,0.9962445321500841,0.9967990264014008,0.015257000591627394,0,0,0
