architecture,scheme,layer_index,state_layer,kind,element_count,sum_squared_delta,pooled_rms,signed_mean,mean_absolute_delta,batch_rms_n_defined,batch_rms_mean,batch_rms_median,batch_rms_p10,batch_rms_p90,batch_rms_std,rms_over_output_rms
conv2,legacy,1,H2,positive_minus_free,3612672,0.0011100703529874619,1.7529155168490254e-05,-7.582719381958199e-08,3.4762331698900103e-06,36,1.715657045272856e-05,1.64563060624561e-05,1.360494325001097e-05,2.0446981655775975e-05,3.6459032350473886e-06,0.0005989703360911844
conv2,legacy,1,H2,positive_minus_matched_zero,3612672,0.0011100878319910497,1.7529293173689275e-05,-7.74108457255157e-08,3.476280549687911e-06,36,1.7156716375667818e-05,1.645635836433233e-05,1.3605161231169416e-05,2.0447231832241646e-05,3.645879417587089e-06,0.0005989749909196679
conv2,legacy,1,H2,zero_nudge_drift,3612672,2.954918102009031e-10,9.043956352913947e-09,1.5836519059337055e-09,1.90119074830442e-09,36,8.670493297664923e-09,8.484713392470652e-09,5.775078902817671e-09,1.1038833896141348e-08,2.6085843428855414e-09,0.03712631446955368
conv2,legacy,2,Output,centered_halfspan,11520,9.866517915428668,0.029265484261286834,-0.0002282040734661396,0.017967057748936418,36,0.028783097036408863,0.02734766895514753,0.02362490000723013,0.03395387039273866,0.005366744651624123,1.0
conv2,legacy,2,Output,negative_minus_free,11520,9.86651991536669,0.02926548722733586,0.00022836594569921744,0.017967061492376868,36,0.028783100072139474,0.02734767648788267,0.02362490083282951,0.03395387123959622,0.0053667445414469625,1.0
conv2,legacy,2,Output,negative_minus_matched_zero,11520,9.866517910901244,0.029265484254572344,0.00022820383776248182,0.01796705779565095,36,0.028783097008922693,0.02734766893024583,0.023624900007230144,0.03395387034440452,0.005366744765589632,1.0
conv2,legacy,2,Output,positive_minus_free,11520,9.866515916854546,0.029265481297260268,-0.0002280422012330617,0.017967054005495968,36,0.028783094002824465,0.027347661424382188,0.023624899184042748,0.03395386954634988,0.005366744761305482,1.0
conv2,legacy,2,Output,positive_minus_matched_zero,11520,9.866517919960032,0.029265484268007166,-0.00022820430916979743,0.017967057702221883,36,0.02878309706390042,0.027347668980049235,0.023624900007230113,0.033953870441072884,0.005366744537661626,1.0
conv2,legacy,2,Output,zero_nudge_drift,11520,6.836057651551785e-10,2.4359962689888487e-07,1.6210793673566102e-07,1.7601154395242773e-07,36,2.335865290495312e-07,2.2911275186973602e-07,1.5424270646676318e-07,2.9770600008406223e-07,7.010441603927327e-08,1.0
conv2,ours,0,H1,centered_halfspan,7225344,0.0016680084082097862,1.5193920629146478e-05,-1.2621955161563928e-07,4.456977075430462e-06,36,1.4880239140577114e-05,1.42295821195998e-05,1.2094480474642382e-05,1.8549261079026973e-05,3.1150026798678347e-06,5.757209952254467e-05
conv2,ours,0,H1,negative_minus_free,7225344,0.0016716576118390562,1.5210531881723935e-05,1.190408975979008e-07,4.4570919693489946e-06,36,1.4883872807248433e-05,1.4236541787707309e-05,1.2065161075127985e-05,1.853023978529811e-05,3.1798561233097714e-06,5.763509807315938e-05
conv2,ours,0,H1,negative_minus_matched_zero,7225344,0.0016716593036366525,1.5210539578615505e-05,1.1845536981067475e-07,4.457025740509004e-06,36,1.4883888075932108e-05,1.4236758393923159e-05,1.2064870093512585e-05,1.852985927081812e-05,3.1798204826560914e-06,5.763512699538065e-05
conv2,ours,0,H1,positive_minus_free,7225344,0.0016712476947772054,1.5208666835085604e-05,-1.3339820563337777e-07,4.460212117295244e-06,36,1.4903378031744462e-05,1.4226413537468276e-05,1.2168395653986478e-05,1.858962309990996e-05,3.0749835082845697e-06,5.762791847143124e-05
