architecture,scheme,checkpoint_role,grouping,cosine_threshold,norm_gate,current_anchor,ratio_to_anchor,selected_beta,upper_edge_open,passing_regions,passing_count
conv2,ours,reconstructed_initialization,whole_gradient,0.9,True,10,10.0,100.0,False,"[{'low': 0.1, 'high': 100.0}]",10
conv2,ours,reconstructed_initialization,whole_gradient,0.95,True,10,10.0,100.0,False,"[{'low': 0.1, 'high': 100.0}]",10
conv2,ours,reconstructed_initialization,whole_gradient,0.99,True,10,10.0,100.0,False,"[{'low': 0.1, 'high': 100.0}]",10
conv2,ours,best_validation,layerwise,0.9,False,10,50.0,500.0,False,"[{'low': 0.1, 'high': 500.0}]",13
conv2,ours,best_validation,layerwise,0.95,False,10,20.0,200.0,False,"[{'low': 0.1, 'high': 200.0}]",11
conv2,ours,best_validation,layerwise,0.99,False,10,3.0,30.0,False,"[{'low': 0.1, 'high': 30.0}]",7
conv2,ours,best_validation,layerwise,0.9,True,10,5.0,50.0,False,"[{'low': 0.1, 'high': 50.0}]",8
conv2,ours,best_validation,layerwise,0.95,True,10,5.0,50.0,False,"[{'low': 0.1, 'high': 50.0}]",8
conv2,ours,best_validation,layerwise,0.99,True,10,3.0,30.0,False,"[{'low': 0.1, 'high': 30.0}]",7
conv2,ours,best_validation,whole_gradient,0.9,False,10,100.0,1000.0,False,"[{'low': 0.1, 'high': 1000.0}]",15
conv2,ours,best_validation,whole_gradient,0.95,False,10,75.0,750.0,False,"[{'low': 0.1, 'high': 750.0}]",14
conv2,ours,best_validation,whole_gradient,0.99,False,10,30.0,300.0,False,"[{'low': 0.1, 'high': 300.0}]",12
conv2,ours,best_validation,whole_gradient,0.9,True,10,100.0,1000.0,False,"[{'low': 0.1, 'high': 1000.0}]",15
conv2,ours,best_validation,whole_gradient,0.95,True,10,75.0,750.0,False,"[{'low': 0.1, 'high': 750.0}]",14
conv2,ours,best_validation,whole_gradient,0.99,True,10,30.0,300.0,False,"[{'low': 0.1, 'high': 300.0}]",12
conv2,legacy,both,layerwise,0.9,False,0.03,1000.0,30.0,True,"[{'low': 0.0003, 'high': 30.0}]",17
conv2,legacy,both,layerwise,0.95,False,0.03,1000.0,30.0,True,"[{'low': 0.0003, 'high': 30.0}]",17
conv2,legacy,both,layerwise,0.99,False,0.03,100.0,3.0,False,"[{'low': 0.0003, 'high': 3.0}]",15
conv2,legacy,both,layerwise,0.9,True,0.03,100.0,3.0,False,"[{'low': 0.0003, 'high': 3.0}]",15
conv2,legacy,both,layerwise,0.95,True,0.03,100.0,3.0,False,"[{'low': 0.0003, 'high': 3.0}]",15
conv2,legacy,both,layerwise,0.99,True,0.03,100.0,3.0,False,"[{'low': 0.0003, 'high': 3.0}]",15
conv2,legacy,both,whole_gradient,0.9,False,0.03,1000.0,30.0,True,"[{'low': 0.0003, 'high': 30.0}]",17
conv2,legacy,both,whole_gradient,0.95,False,0.03,1000.0,30.0,True,"[{'low': 0.0003, 'high': 30.0}]",17
conv2,legacy,both,whole_gradient,0.99,False,0.03,1000.0,30.0,True,"[{'low': 0.0003, 'high': 30.0}]",17
conv2,legacy,both,whole_gradient,0.9,True,0.03,1000.0,30.0,True,"[{'low': 0.0003, 'high': 30.0}]",17
conv2,legacy,both,whole_gradient,0.95,True,0.03,1000.0,30.0,True,"[{'low': 0.0003, 'high': 30.0}]",17
conv2,legacy,both,whole_gradient,0.99,True,0.03,1000.0,30.0,True,"[{'low': 0.0003, 'high': 30.0}]",17
conv2,legacy,reconstructed_initialization,layerwise,0.9,False,0.03,1000.0,30.0,True,"[{'low': 0.0003, 'high': 30.0}]",17
conv2,legacy,reconstructed_initialization,layerwise,0.95,False,0.03,1000.0,30.0,True,"[{'low': 0.0003, 'high': 30.0}]",17
conv2,legacy,reconstructed_initialization,layerwise,0.99,False,0.03,100.0,3.0,False,"[{'low': 0.0003, 'high': 3.0}]",15
conv2,legacy,reconstructed_initialization,layerwise,0.9,True,0.03,300.0,9.0,False,"[{'low': 0.0003, 'high': 9.0}]",16
