architecture,scheme,checkpoint_role,T,K,injected_beta,base_beta,layer_index,state_layer_name,phase,raw_rms,controlled_rms,zero_drift_rms,raw_to_control_ratio,drift_to_control_ratio,response_over_max_T_response,max_reference_T,free_state_rms,free_state_mean,batch_median_drift_to_control,batch_p95_drift_to_control,batch_max_drift_to_control,source_checkpoint_epoch
conv2,legacy,reconstructed_initialization,6,6,0.03,0.0001171875,2,Layer_2,positive,6.585073628466221e-05,6.565512370543013e-05,4.862226284239727e-06,1.0029793954864776,0.07405707292632194,1.0000005039795474,16,0.40828771627291055,0.0038539574605142082,0.07328984112059694,0.08624131252974923,0.08816030887753719,0
conv2,legacy,reconstructed_initialization,6,6,0.03,0.0001171875,2,Layer_2,negative,6.581920529539372e-05,6.56551876027055e-05,4.862226284239727e-06,1.0024981680606981,0.07405700085212102,1.000000504038961,16,0.40828771627291055,0.0038539574605142082,0.07329032805288027,0.08624144919837984,0.08816063774356098,0
conv2,legacy,reconstructed_initialization,6,6,0.03,0.0001171875,3,Layer_3,positive,0.12222688186640931,0.12222673260049643,4.6859622525132036e-05,1.000001221221493,0.0003833827635587283,1.0000004970180505,16,0.1964285081337468,0.021949986036527664,0.00037616242750038924,0.0004839546599651611,0.0005267895716603354,0
conv2,legacy,reconstructed_initialization,6,6,0.03,0.0001171875,3,Layer_3,negative,0.12222660153447976,0.12222673283455021,4.6859622525132036e-05,0.9999989257663409,0.000383382762824583,1.000000497018085,16,0.1964285081337468,0.021949986036527664,0.0003761624136709378,0.0004839546671000966,0.0005267895281046287,0
conv3,baseline,reconstructed_initialization,10,8,10,10.0,1,Layer_1,positive,4.871447029407459e-07,4.86923267192865e-07,6.612252529974735e-09,1.0004547651812934,0.013579660237011622,1.0000000000103146,24,6.826719202438843,-0.00450825783199234,0.013546195000314974,0.017109216730929105,0.018125904572513327,0
conv3,baseline,reconstructed_initialization,10,8,10,10.0,1,Layer_1,negative,4.868621108827589e-07,4.869960061961049e-07,6.612252529974735e-09,0.9997250587034751,0.013577631943273256,1.0000000000125904,24,6.826719202438843,-0.00450825783199234,0.01349258775953104,0.01708114863625486,0.01820107938391555,0
conv3,baseline,reconstructed_initialization,10,8,10,10.0,2,Layer_2,positive,2.2792558926463116e-06,2.2791931575714366e-06,3.803882758231768e-09,1.00002752512426,0.0016689602395458854,1.0000000000115907,24,0.10356552214588588,-0.0027699795941880977,0.0016614480593463493,0.0021077464129928315,0.002325324415687513,0
conv3,baseline,reconstructed_initialization,10,8,10,10.0,2,Layer_2,negative,2.2792629025446945e-06,2.2793201122166114e-06,3.803882758231768e-09,0.9999749005540687,0.0016688672810123795,1.0000000000118183,24,0.10356552214588588,-0.0027699795941880977,0.0016646220648038395,0.002106556599372389,0.0023295681782881023,0
conv3,baseline,reconstructed_initialization,10,8,10,10.0,3,Layer_3,positive,0.00012006210612110981,0.00012006209804281671,8.063754620851823e-09,1.0000000672842908,6.716319931354286e-05,1.0000000000096216,24,0.023222073997471872,0.0016518856101012745,6.647362235014983e-05,8.501037446276841e-05,9.634091770767639e-05,0
conv3,baseline,reconstructed_initialization,10,8,10,10.0,3,Layer_3,negative,0.00012006313150920722,0.0001200631391694538,8.063754620851823e-09,0.9999999361981817,6.716261690834905e-05,1.0000000000096214,24,0.023222073997471872,0.0016518856101012745,6.647462450007082e-05,8.500313089140356e-05,9.632645194686608e-05,0
conv3,baseline,reconstructed_initialization,10,8,10,10.0,4,Layer_4,positive,0.1127735014617353,0.11277350146181365,5.312328288625349e-09,0.9999999999993052,4.710617494149688e-08,1.0000000000093212,24,0.006000523565181206,0.0016866212341482124,4.651027478541243e-08,5.972669070525107e-08,6.762760671311457e-08,0
conv3,baseline,reconstructed_initialization,10,8,10,10.0,4,Layer_4,negative,0.11277350177044325,0.1127735017703647,5.312328288625349e-09,1.0000000000006966,4.710617481261324e-08,1.0000000000093214,24,0.006000523565181206,0.0016866212341482124,4.651027616028945e-08,5.972668742859754e-08,6.762760500377542e-08,0
conv3,baseline,best_validation,10,8,10,10.0,1,Layer_1,positive,6.9438418532914475e-06,4.5797122916371895e-07,6.9184361825146884e-06,15.16217921805108,15.106704836345592,1.0000005331271955,24,49.787234931271584,-2.872679061041335,16.811770029403704,21.94589945442852,26.297060065224596,24
conv3,baseline,best_validation,10,8,10,10.0,1,Layer_1,negative,6.923303857433639e-06,4.579767418380131e-07,6.9184361825146884e-06,15.117151647588294,15.106522996667257,1.0000005327184656,24,49.787234931271584,-2.872679061041335,16.81177840746654,21.94664349730621,26.297265969108235,24
conv3,baseline,best_validation,10,8,10,10.0,2,Layer_2,positive,6.162522824892469e-06,2.4431415547873765e-06,5.6221721192213165e-06,2.522376492191745,2.3012060468639555,1.0000005215188834,24,20.53665304897871,-0.8164214004085224,2.5098472718585616,3.335480638889732,4.125171933248997,24
conv3,baseline,best_validation,10,8,10,10.0,2,Layer_2,negative,6.09747056537866e-06,2.443162485593095e-06,5.6221721192213165e-06,2.4957286309585975,2.3011863322125685,1.0000005213025391,24,20.53665304897871,-0.8164214004085224,2.50993681483798,3.335564695327845,4.125261854898248,24
conv3,baseline,best_validation,10,8,10,10.0,3,Layer_3,positive,4.5143444478238847e-05,4.499253240296182e-05,3.4496588162053236e-06,1.0033541582839889,0.07667180823051951,1.00000039145933,24,1.4138483514663907,-0.19783663243710872,0.07914997077303693,0.10828886035446798,0.11776340244313835,24
conv3,baseline,best_validation,10,8,10,10.0,3,Layer_3,negative,4.510670910873591e-05,4.499352118469442e-05,3.4496588162053236e-06,1.0025156493882055,0.07667012328385635,1.0000003914177689,24,1.4138483514663907,-0.19783663243710872,0.07914997077299918,0.10828927952716776,0.1177634150771906,24
